FBpp_ID,id,Protein_symbol
FBpp0070843,629,Btnd-PA
FBpp0070844,630,vanin-like-PA
FBpp0070845,631,CG32751-PA
FBpp0309511,632,CG32751-PB
FBpp0070846,633,CG32750-PA
FBpp0070849,634,Mipp2-PA
FBpp0305180,635,raptor-PB
FBpp0070851,636,CG4660-PA
FBpp0070852,637,CG4666-PA
FBpp0070853,638,Tsp5D-PA
FBpp0303596,639,Tsp5D-PC
FBpp0070854,640,rux-PA
FBpp0070855,641,mab-21-PA
FBpp0070856,642,CG4766-PA
FBpp0070857,643,fs(1)M3-PA
FBpp0070858,644,CG14445-PA
FBpp0111867,645,CG14445-PB
FBpp0308579,646,CG14445-PC
FBpp0308580,647,CG14445-PD
FBpp0070859,648,Spx-PA
FBpp0070860,649,CG3781-PA
FBpp0070861,650,Spt6-PA
FBpp0070862,651,wuho-PA
FBpp0070863,652,mldr-PA
FBpp0070864,653,CG3815-PA
FBpp0070865,654,CG3823-PA
FBpp0070866,655,CG15894-PA
FBpp0111868,656,CG15894-PB
FBpp0308817,657,CG15894-PC
FBpp0308818,658,CG15894-PD
FBpp0070868,659,CG3842-PA
FBpp0070870,660,CG3847-PA
FBpp0070874,661,CG3918-PA
FBpp0070875,662,Agxt-PA
FBpp0070876,663,dx-PA
FBpp0070877,664,RpL7A-PA
FBpp0070880,665,CG3342-PA
FBpp0070883,666,PpV-PA
FBpp0070884,667,swa-PA
FBpp0070885,668,ND-B16.6-PA
FBpp0070886,669,CG12219-PA
FBpp0293948,670,Rpt4-PB
FBpp0070891,671,Top3beta-PA
FBpp0077702,672,CG3862-PA
FBpp0077703,673,PGAP2-PA
FBpp0077704,674,CG15880-PA
FBpp0077705,675,Saf6-PA
FBpp0305190,676,Saf6-PB
FBpp0077706,677,Pkg21D-PA
FBpp0077707,678,Eaat2-PA
FBpp0290531,679,Eaat2-PC
FBpp0300624,680,lectin-21Cb-PB
FBpp0089225,681,Plc21C-PC
FBpp0089226,682,Plc21C-PD
FBpp0077710,683,Plc21C-PA
FBpp0303523,684,Plc21C-PG
FBpp0303524,685,Plc21C-PH
FBpp0077712,686,CG33127-PA
FBpp0077713,687,al-PA
FBpp0077714,688,Polr1B-PA
FBpp0077716,689,RpLP1-PA
FBpp0077717,690,CG13692-PA
FBpp0077718,691,BBS8-PA
FBpp0077719,692,ex-PA
FBpp0077720,693,shv-PA
FBpp0077721,694,CG4133-PA
FBpp0303672,695,CG4133-PB
FBpp0303673,696,CG4133-PC
FBpp0077722,697,MED15-PA
FBpp0077723,698,ush-PA
FBpp0301730,699,ush-PB
FBpp0302929,700,ush-PC
FBpp0305227,701,ush-PD
FBpp0077726,702,Tspo-PA
FBpp0077727,703,CG2794-PA
FBpp0077728,704,Sf3b1-PA
FBpp0077729,705,cold-PA
FBpp0077730,706,Pph13-PA
FBpp0309909,707,Gsc-PC
FBpp0309910,708,Gsc-PD
FBpp0312549,709,Gsc-PE
FBpp0312335,710,Ptth-PG
FBpp0305888,711,Ptth-PE
FBpp0312235,712,Ptth-PF
FBpp0077734,713,Ipk2-PA
FBpp0077735,714,Nle-PA
FBpp0077736,715,CG11835-PA
FBpp0077739,716,Ets21C-PA
FBpp0111767,717,Ets21C-PB
FBpp0077740,718,Spp-PA
FBpp0077741,719,lwr-PA
FBpp0077743,720,cbt-PA
FBpp0077744,721,cbt-PB
FBpp0301737,722,CG4297-PC
FBpp0077747,723,crq-PA
